Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
2500079,3.6,1,3.3497060384583044,2.6775814683941888,2.6775814683941888,2.6775814683941888,75.316722,19.875337,2.6714566156262274,1000,2.52332408691632,0,0,0,0,3,3.6,3.0,3.0,73
2500343,3.5,1,3.384107903618277,2.6715744012563802,2.6715744012563802,2.6715744012563802,0.0,0.0,4.5,300,2.52332408691632,0,0,0,0,1,3.5,3.0,3.0,21
2500052,3.3,1,3.3497060384583044,2.6775814683941888,3.349630705100136,3.349630705100136,75.32340278,19.87963056,2.239319171059579,400,2.52332408691632,0,0,0,0,2,3.3,2.0,2.0,46
2500062,3.3,1,3.384107903618277,2.6715744012563802,3.4928605208410244,3.4928605208410244,75.32350278,19.88025556,1.9809892803481464,700,2.52332408691632,0,0,0,0,2,3.3,2.0,2.0,45
2500056,3.4,1,3.384107903618277,2.6715744012563802,3.4928605208410244,3.4928605208410244,75.322405,19.875016,3.47007548937574,450,2.52332408691632,0,0,0,0,2,3.4,2.0,2.0,34
2500030,3.25,1,3.3497060384583044,2.6775814683941888,3.349630705100136,3.349630705100136,75.317475,19.87802778,1.6374874632556875,450,2.52332408691632,0,0,0,0,2,3.7,3.0,3.0,89
2500390,3.2,1,3.388560813320386,2.6606465122366183,2.6606465122366183,2.6606465122366183,0.0,0.0,2.6714566156262274,400,2.52332408691632,0,0,0,0,2,3.2,2.0,2.0,8
2500007,3.4,1,3.384107903618277,2.6715744012563802,2.6715744012563802,2.6715744012563802,75.37235278,19.87699444,1.5330693285867067,650,2.52332408691632,0,0,0,0,2,3.4,2.0,2.0,39
2500123,3.3,1,3.388560813320386,2.6606465122366183,2.6606465122366183,2.6606465122366183,75.321461,19.888716,2.678935102787308,600,2.52332408691632,0,0,0,0,2,3.3,2.0,2.0,74
2500122,3.3,1,3.3497060384583044,2.6775814683941888,3.3,3.3,75.31889444,19.86696944,2.5641291854690484,450,2.52332408691632,0,0,0,0,2,3.3,2.0,2.0,76
2500346,3.3,1,3.3683749327111143,2.6631413612565447,3.3,3.3,0.0,0.0,3.5,500,2.52332408691632,0,0,0,0,2,3.3,2.0,2.0,71
50943,4.1,1,4.3466402607256915,2.6606465122366183,2.6606465122366183,2.6606465122366183,77.61542793,12.93328392,2.7938845192965123,1300,2.52332408691632,1,1,0,0,3,4.1,4.0,4.0,2416
58268,4.7,1,4.346272356690515,2.6589059023688,4.204506793068524,4.204506793068524,77.64539558,12.97022064,3.214577506122979,2400,2.52332408691632,1,1,0,0,4,4.7,5.0,5.0,2369
51705,4.8,1,4.3466402607256915,2.6606465122366183,4.209607030822383,4.209607030822383,77.64070876,12.9791658,4.1,2000,2.52332408691632,0,0,0,0,4,4.8,5.0,5.0,10934
18162866,3.9,1,4.429955241374189,2.6631413612565447,4.587039084443328,4.587039084443328,77.64048882,12.98041024,3.5899870524828463,1300,2.52332408691632,1,0,0,0,3,3.9,3.0,3.0,1354
18407918,4.4,1,4.429955241374189,2.6631413612565447,4.587039084443328,4.587039084443328,77.645748,12.970324,4.309907497786017,1500,2.52332408691632,0,1,0,0,3,4.2,4.0,4.0,231
56464,4.0,1,4.429955241374189,2.6631413612565447,4.587039084443328,4.587039084443328,77.64062494,12.97909556,3.958055064293465,800,2.52332408691632,0,0,0,0,2,4.0,4.0,4.0,3533
18221572,4.5,1,4.346272356690515,2.6589059023688,4.204506793068524,4.204506793068524,77.64368467,12.97845292,4.051992769594648,600,2.52332408691632,0,1,0,0,2,4.3,4.0,4.0,1413
18359919,4.5,1,4.429955241374189,2.6631413612565447,2.6631413612565447,2.6631413612565447,77.59679094,12.90622878,4.0064497511885016,600,2.52332408691632,0,0,0,0,2,4.6,5.0,5.0,781
18439634,4.7,1,4.346272356690515,2.6589059023688,4.366559692010199,4.366559692010199,77.615797,12.934179,2.666418008114121,950,2.52332408691632,0,0,0,0,2,4.7,5.0,5.0,276
51040,3.95,1,4.3554270091609135,2.6715744012563802,4.366841663044613,4.366841663044613,77.61429269,12.93329764,2.6690052356020937,800,2.52332408691632,0,1,0,0,2,4.7,5.0,5.0,9667
54162,4.1,1,4.380087828488837,2.6775814683941888,4.7,4.7,77.61615515,12.93436454,4.760769622164407,1400,2.52332408691632,1,0,0,0,3,4.1,4.0,4.0,5385
18305628,4.3,1,4.429955241374189,2.6631413612565447,2.6631413612565447,2.6631413612565447,77.625999,12.939496,2.6690052356020937,400,2.52332408691632,0,1,0,0,1,4.3,4.0,4.0,753
18385443,4.5,1,4.380087828488837,2.6775814683941888,2.6775814683941888,2.6775814683941888,77.61413042,12.93566181,3.6841920356366717,1500,2.52332408691632,0,0,0,0,3,4.5,5.0,5.0,1288
56618,4.825,1,4.3466402607256915,2.6606465122366183,4.4,4.4,77.6993861,12.94993396,4.437354146224491,1400,2.52332408691632,0,0,0,0,3,4.6,5.0,5.0,6907
18353121,4.4,1,4.346272356690515,2.6589059023688,4.6,4.6,77.696664,12.97537691,3.8329586685908703,1200,2.52332408691632,1,0,0,0,3,4.4,4.0,4.0,983
18366652,4.5,1,4.346272356690515,2.6589059023688,2.6589059023688,2.6589059023688,77.5709967,13.0291977,4.006501262769217,600,2.52332408691632,0,0,0,0,2,4.6,5.0,5.0,627
18430785,4.2,1,4.3554270091609135,2.6715744012563802,2.6715744012563802,2.6715744012563802,77.60817859,12.97253153,3.4705832653656388,1200,2.52332408691632,0,0,0,0,3,4.2,4.0,4.0,334
58882,4.5,1,4.3554270091609135,2.6715744012563802,3.9,3.9,77.68323686,12.91304096,2.666418008114121,1800,2.52332408691632,1,1,0,0,3,4.5,5.0,5.0,5705
18422898,3.9,1,4.346272356690515,2.6589059023688,4.5,4.5,77.6784,12.914264,3.2129939981386757,1400,2.52332408691632,0,0,0,0,3,3.9,3.0,3.0,405
18339874,4.366666666666666,1,4.3466402607256915,2.6606465122366183,2.6606465122366183,2.6606465122366183,77.5960137,12.9721612,4.454507896476254,1500,2.52332408691632,0,0,0,0,3,4.4,4.0,4.0,754
2600472,3.3,1,3.931631556330264,2.6715744012563802,3.6368882514889203,3.6368882514889203,77.419399,23.211529,3.7176124028595403,200,2.52332408691632,0,0,0,0,1,3.3,2.0,2.0,51
2600514,3.4,1,3.9390458804612587,2.6631413612565447,4.047614500506108,4.047614500506108,0.0,0.0,2.880730402455067,600,2.52332408691632,0,0,0,0,2,3.4,2.0,2.0,63
2600109,4.9,1,3.931631556330264,2.6715744012563802,3.6368882514889203,3.6368882514889203,77.435361,23.214294,2.063254200247568,250,2.52332408691632,0,0,0,0,1,4.9,5.0,5.0,427
2600311,3.9,1,3.9390458804612587,2.6631413612565447,4.047614500506108,4.047614500506108,77.41722744,23.18499152,2.348841947525824,700,2.52332408691632,0,0,0,0,2,3.9,3.0,3.0,126
